Brand,Item Name,Price,Size,Description,Extra Info,Colors,Image URL,No Of Seller Listings,No Of Sold Seller Listings,Seller Avg. Shipping Time,No of Seller Love Notes,Product Link
Willow & Thread,"
            Willow & Thread multi media graphic long sleeve shirt dress
          ","
              C$37
            ","
              US M
            ","
          Willow & Thread multi media graphic long sleeve shirt dress (35 inches)

Excellent pre-owned condition 

Great quality fabric
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, Black, N/A, N/A, N/A",N/A,1162,700+,2 days,100+,https://poshmark.ca/listing/Willow-Thread-multi-media-graphic-long-sleeve-shirt-dress-66c036025c465ed352c9f29e
Superfoxx,"
            Superfoxx Twist Front Rib Knit Midi Dress in Royal Blue
          ","
              C$58
            ","
              US XL
            ","
          A flattering midi dress composed of a comfortable ribbed knit features a trendy twist front and high/low hem for a chic look. 

+ V-neck 
+ Elbow length sleeves 
+ Slips on over head 
+ Solid color 
+ Twist front accent 
+ Rib knit construction 
+ Surplice skirt 
+ High/low hem 
+ Camisole liner
+ Made in the USA

SIZE  & MEASUREMENTS 
+ XL
+ Pit to pit: approx. 19”
+ Length: approx. 46”
+ True to size

COLOUR
+ Royal blue 

MATERIALS
+ Self: 96% rayon, 4% spandex
+ Lining: 100% polyester 

CONDITION 
+ New without tag. 100% authentic

*SAVE ON COMBINED SHIPPING ON MULTIPLE ITEMS PURCHASED. JUST ADD ITEMS TO THE CART AND PROCEED WITH THE SINGLE PAYMENT.

*REASONABLE OFFERS ARE ALWAYS WELCOME 🤗 

New to Poshmark? Use the code Oxfordx501 when you sign up and get $15!
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, Blue",N/A,4055,2600+,1 day,100+,https://poshmark.ca/listing/Superfoxx-Twist-Front-Rib-Knit-Midi-Dress-in-Royal-Blue-62a100e93e732bc28c9bedc6
Old Navy,"
            Old Navy Sleeveless Drop Waist Dress NWT
          ","
              C$29
            ","
              US XL
            ","
          New with Tags
* Really cute Sun Dress with Drop Elastic Waist 
* Adjustable Straps
* Taupe like background with metallic gold pattern 
* Size XL, see measurements
* 100% Cotton
* Backless
        ","Seller Discount: 15% off 3+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, Tan, Gold, N/A, N/A, N/A",N/A,2113,1100+,1 day,100+,https://poshmark.ca/listing/Old-Navy-Sleeveless-Drop-Waist-Dress-NWT-66d3e14a19852407c25de492
Vintage,"
            Vintage Tracy Collins dress and kimono set
          ","
              C$40
            ","
              US L
            ","
          Vintage taupe maxi dress and kimono set from Tracy Collins

Brown lace panels at the dress hem

Brown and pink floral lace sleeves on the cardigan

Approximately ankle-length

Dress is labelled size 14

Jacket is labelled size 16

Flat lay measurements:

DRESS:
Pit to pit - 18.5""
Waist - 17.5""
Hips - 21.75""
Length - 49.5""

JACKET:
Shoulder to shoulder - 15""
Pit to pit - 25""
Length - 23""
Sleeve inseam - 10""

No stretch

70% rayon
20% acetate
10% polyester

Good pre-owned condition with an orange spot on the upper back of both the dress and jacket (pictured)
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, Brown, Tan, N/A, N/A, N/A",N/A,2256,1400+,1 day,100+,https://poshmark.ca/listing/Vintage-Tracy-Collins-dress-and-kimono-set-65c145b181078afe02b53ce7
bebe,"
            Bebe Black Belted Mini Dress
          ","
              C$40
            ","
              US XXS
            ","
          Bebe Black Belted Mini Dress

-Zip-up back
-Flared skirt
-Fitted bodice
-Great condition

Perfect for a night out!
        ","Seller Discount: 15% off 3+ Bundle, Price Dropped: 20%, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, Black, N/A, N/A, N/A",N/A,273,100+,2 days,29,https://poshmark.ca/listing/Bebe-Black-Belted-Mini-Dress-64b160b29464f325534576f3
Guess,"
            Guess Red Sheath Mini Dress Lace Up Back Size XS
          ","
              C$60
            ","
              US XS
            ","
          Thick tricot. Stretchy material. The product has a thin lining. Excellent condition! 

Pit to pit: 14’’
Waist: 23’’
Length: 31’’

Happy shopping! 🛍️

🎀 No Poshmark account? No problem! Sign up using the following code: HELLOMYCHERIE to receive a $15 credit to use towards your first purchase! 🎀
        ","Seller Discount: 15% off 3+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, Red, N/A, N/A, N/A",N/A,710,200+,1 day,37,https://poshmark.ca/listing/Guess-Red-Sheath-Mini-Dress-Lace-Up-Back-Size-XS-66b3484814d7a635cf09a9a7
YOINS,"
            Yoins your inspiration white sun dress wedding lined zipper ruffles strappy USXL
          ","
              C$31
            ","
              US XL
            ","
          Lovely versatile dress. Perfect for a beqch wedding, summer festival or to layer as the days get colder. Asymmetrical with crossover front, high low and waist definition, between mini and midi.
        ","Seller Discount: 20% off 3+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, White, N/A, N/A, N/A",N/A,465,100+,2 days,12,https://poshmark.ca/listing/Yoins-your-inspiration-white-sun-dress-wedding-lined-zipper-ruffles-strappy-USXL-66d64dacfe7e2c7fe95dc3e1
N/A,"
            Authentic Indian Dress Size 16
          ","
              C$35
            ","
              US 16
            ","
          Dark Red Rayon fabric with floral print on the upper bodice
(the color is more like in the stock photo)
The fabric is in soft and very comfortable on the skin.
It is important to take it out of the dryer as soon as it is dry however, otherwise it will be very wrinkly
It is in very good condition but I hand sewed the neck opening closed for modesty
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, Red, Pink",N/A,4993,1200+,1 day,100+,https://poshmark.ca/listing/Authentic-Indian-Dress-Size-16-61732c8ca7729d5bac4cc8af
california moon rise,"
            California moon rise dress/swin cover flowy size xs
          ","
              C$48
            ","
              US XS
            ","
          Boho California moon rise dress/swin cover flowy size xs 

In very good condition 
Sheer 
Flowly
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, N/A, N/A",N/A,2195,1100+,2 days,100+,https://poshmark.ca/listing/California-moon-rise-dressswin-cover-flowy-size-xs-66dfd4e05280155e321a7be9
Forever 21,"
            Lace Halter Dress - Forever 21 - Size Medium
          ","
              C$25
            ","
              US M
            ","
          Beautiful like new condition, beautiful lace design, adjustable straps that criss cross along the back, invisible zipper in the back. Size medium. Measurements are in the photographs.
        ","Seller Discount: 20% off 3+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, Cream, N/A, N/A, N/A",https://di2ponv0v5otw.cloudfront.net/posts/2024/07/31/66aa4500eba4c4ed2f736828/s_66aa450107ac55db65337d0c.jpg,1085,400+,1 day,58,https://poshmark.ca/listing/Lace-Halter-Dress-Forever-21-Size-Medium-66aa4500eba4c4ed2f736828
