Brand,Item Name,Price,Size,Description,Extra Info,Colors,Image URL,No Of Seller Listings,No Of Sold Seller Listings,Seller Avg. Shipping Time,No of Seller Love Notes,Product Link
Melanie Lynn,"
            Melanie Lynn Cuff Bracelet
          ","
              C$18
            ","
              US OS
            ","
          Excellent Pre-❤️Condition 

Comes from a Smoke & Pet Free Home.

🌟Make an offer🌟 all reasonable offers are welcome or you can bundle 🛍and save 💰on shipping fees📦💛.

All sales are final & sold as is.
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, Black, Gray, N/A, N/A, N/A",N/A,3608,2000+,1 day,100+,https://poshmark.ca/listing/Melanie-Lynn-Cuff-Bracelet-663ea17315460026f94fb6c7
Dior,"
            Authentic vintage preowned Christian Dior rhinestone gold plated earrings
          ","
              C$160
            ","
              US OS
            ","
          Authentic vintage Christian Dior rhinestone gold plated earrings
in good vintage condition 
just normal signs of usage
length0.6”
height-0.8”
        ",N/A,"N/A, N/A, N/A, Gold, N/A, N/A, N/A",N/A,524,300+,1 day,44,https://poshmark.ca/listing/Authentic-vintage-preowned-Christian-Dior-rhinestone-gold-plated-earrings-66ae3905a5bb3412fd839bdf
Made by Megan,"
            *NEW* Handmade Boutique Earrings made with Crystals & Gemstones - Blues and opal
          ","
              C$36
            ","
              US OS
            ","
          These remind me of a beautiful day on the ocean

*NEW* Handmade Boutique Earrings made with Crystals & Gemstones - Earrings posts with backings
Amazonite
Agate
Opalite
Jasper

Gold Plated Findings
        ","Seller Discount: 25% off 3+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, Blue, White, N/A, N/A, N/A",N/A,880,200+,1 day,37,https://poshmark.ca/listing/NEW-Handmade-Boutique-Earrings-made-with-Crystals-Gemstones-Blues-and-opal-669b77cc6da06ec0d9d846a8
Vintage,"
            Vintage Faux Pearl Collar & Purse
          ","
              C$50
            ","
              US OS
            ","
          Vintage Faux Pearl Collar & Purse.
A lovely, vintage beaded collar. The top is a variety of different sized, off white faux pearl beads. The bottom is a beige satin lining. It has a hook and eye clasp.

It measures 16"" long and Aprox 1 1/2"" wide.
It is in very good vintage condition. There is some slight bald spots on the beaded purse.



Hi there, Thanks for stopping by my closet 😊

Combine Items, For Cheaper Shipping!!

Sign up now with my code ARCHAICCHARM to save C$15 on your first order. Hurry—this code is only valid for a limited time!

*All Vintage & Antique items have been priced according to their condition and any faults as described.Please note that vintage & antique pieces carry signs of previous wear. It is these imperfections which, in my opinion, hold much of the beauty of vintage fashion as they have been loved before. But this should be considered before purchasing.*

Follow and visit my Closet often, I'm always listing new and unusual findings!

Please feel free to contact me either before or after a purchase, Check out more of my vintage and antique finds at: 
https://www.instagram.com/archaic.charm/
Or TikTok  archaiccharm 

NOTE: Colors may slightly vary with different computer screens
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, Cream, Pink, N/A, N/A, N/A",N/A,238,5+,1 day,2,https://poshmark.ca/listing/Vintage-Faux-Pearl-Collar-Purse-66cc34aac479b8b928937546
Vintage,"
            Vintage Gold-tone Snowflake Style Clip On Earrings w/ Clear Rhinestones
          ","
              C$14
            ","
              US OS
            ","
          Vintage Gold-tone Snowflake Style Clip On Earrings w/ Clear Rhinestones 
•
•
*Unless otherwise stated, all items are in used condition with minor signs of wear/no signs of wear. We do our best to mention/picture any big flaws.*
**Reasonable offers will be considered! All sales are final.**
***Please ask any questions before purchasing.***

Buyer’s Opinion may vary!
        ","Seller Discount: 20% off 2+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, Silver, N/A, N/A, N/A",N/A,177,85+,1 day,13,https://poshmark.ca/listing/Vintage-Goldtone-Snowflake-Style-Clip-On-Earrings-w-Clear-Rhinestones-66b40b88b9bd7494dde239db
Banana Republic,"
            BANANA REPUBLIC Chain Link Necklace in GOLD (Also in Silver!), with BR Gift Box
          ","
              C$40
            ","
              US OS
            ","
          Dress it up or dress it down, the Banana Republic jewellery collection is filled with pieces that add instant polish to every outfit.

Available in Gold and Silver! Wear them together for a unique classic look.

Beautiful, thick design with lobster clasp closure. Hypoallergenic. Comes in a Banana Republic gift box making it extra special.

This was $86 retail and is completely SOLD OUT and no longer available so make it yours before it's gone!
        ","Seller Discount: 10% off 3+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, Gold, N/A, N/A, N/A",N/A,1191,800+,1 day,100+,https://poshmark.ca/listing/BANANA-REPUBLIC-Chain-Link-Necklace-in-GOLD-Also-in-Silver-with-BR-Gift-Box-64dfd822fe2504f6e71a9c93
N/A,"
            Vintage 80’s Costume Disco Silver Toned Mesh Earrings
          ","
              C$34
            ","
              US OS
            ","
          Width = 1.5in
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, Silver, N/A, N/A",N/A,1004,400+,1 day,54,https://poshmark.ca/listing/Vintage-80s-Costume-Disco-Silver-Toned-Mesh-Earrings-66dc4c9cfee468623aa333a4
N/A,"
            Snowflake Brooch Rotatable Brooch Zircon Snowflake Pin
          ","
              C$25
            ","
              US OS
            ","
          🌷Bundles and offers welcome!🌻

Size: 1.1""X1.1""(2.8CMX2.8CM)
Color: Gold tone.

🌷Mix 'n' match and send me an offer, I can't accept an offer if you don't ask. 🌻
        ",N/A,"N/A, N/A, N/A, N/A, N/A, N/A",N/A,480,95+,1 day,16,https://poshmark.ca/listing/Snowflake-Brooch-Rotatable-Brooch-Zircon-Snowflake-Pin-65e0fe8f92e491934c50611b
N/A,"
            14k natural  pearl pendant
          ","
              C$179
            ","
              US OS
            ","
          14k yellow gold natural pearl pendant
        ","Seller Discount: 10% off 3+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A",N/A,680,100+,2 days,26,https://poshmark.ca/listing/14k-natural-pearl-pendant-66dfaa5f72f45f02c185782d
michelle lynn,"
            MICHELLE LYNN gold owl pendant necklace with ruby eyes 1970 VTG
          ","
              C$150
            ","
              US OS
            ","
          Michelle Lynn stamp owl necklace

There’s a possibility that I keep this necklace for myself…

Measures 30 inches in box chain

STUNNING 100%
        ",N/A,"N/A, N/A, N/A, Red, Gold, N/A, N/A, N/A",N/A,1836,600+,1 day,68,https://poshmark.ca/listing/MICHELLE-LYNN-gold-owl-pendant-necklace-with-ruby-eyes-1970-VTG-66db0089d399ff7c475c816a
