Brand,Item Name,Price,Size,Description,Extra Info,Colors,Image URL,No Of Seller Listings,No Of Sold Seller Listings,Seller Avg. Shipping Time,No of Seller Love Notes,Product Link
Tory Burch,"
            (BNWT) Tory Burch Thea Mini Web
          ","
              C$285
            ","
              US OS
            ","
          Tory Burch Thea Mini Web Crossbody
Leather Material
Pink Moon 👛 Adjustable Strap
New with tag 🌟

6.75"" (L) x 7"" (H) x 2"" (W) approx.
        ","Seller Discount: 10% off 2+ Bundle, C$12.49C$9.99Expedited (1-7 day) Shipping","N/A, N/A, N/A, Pink",https://di2ponv0v5otw.cloudfront.net/posts/2022/10/04/633ce321dbb0e7cda465c2bb/s_633ce33ba0e6c62ed9d44331.jpg,121,35+,2 days,4,https://poshmark.ca/listing/BNWT-Tory-Burch-Thea-Mini-Web-633ce321dbb0e7cda465c2bb
Tory Burch,"
            Tory Burch Britten  Clutch Bag with strap Gold
          ","
              C$250
            ","
              US OS
            ","
          Gold Tory Burch Britten Cluth/Crossbody Bag perfect for party or any occasions.


2 in 1 Clutch or crossbody
-Gold leather 
-Gold strap
- 29cm L x 3cm W x 16.5 cm L 
- 59 cm adjustable strap
- Includes dust bag and authenticity card


In almost perfect condition. Interior is clean. No stain. Signs of usage.
        ","Seller Discount: 5% off 2+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, Gold, N/A, N/A, N/A",https://di2ponv0v5otw.cloudfront.net/posts/2024/09/13/66e455e7ef1ef7e70dad939f/s_66e455ea1ce66661944f0f64.jpeg,99,40+,1 day,5,https://poshmark.ca/listing/Tory-Burch-Britten-Clutch-Bag-with-strap-Gold-66e455e7ef1ef7e70dad939f
LA Express,"
            🪅 LA Express women straw wicker  Crossbody Bag
          ","
              C$9
            ","
              US OS
            ","
          LA Express women straw wicker Crossbody Bag

Condition: gently used

Approximate Measurements: see photos
        ","Seller Discount: 15% off 2+ Bundle, Price Dropped: 44%, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, Tan, Cream",https://di2ponv0v5otw.cloudfront.net/posts/2024/09/07/66dcdbd539a1f6723f24ceed/s_66dcdbd79ceaf7c448c37622.jpeg,188,100+,1 day,16,https://poshmark.ca/listing/LA-Express-women-straw-wicker-Crossbody-Bag-66dcdbd539a1f6723f24ceed
MCM,"
            MCM BUCKET BAG
          ","
              C$225
            ","
              H 36 x L 38 x D 17 cm
            ","
          💯 Authentic 

✨️Preloved vintage bucket bag
✨️Good condition 
✨️Flaws:  Normal usage . Sign of wear on strap and on the hole. Faded hardwares, sign of wear  on string. Light  rubs on edges . Light scuffed as well  in some parts.
✨️Please check photos properly for issues.  Ask questions before buying. 

✨️Preloved vintage bag 
✨️Please manage your expectations
        ",N/A,"N/A, N/A, N/A, Black",N/A,321,90+,1 day,16,https://poshmark.ca/listing/MCM-BUCKET-BAG-66d5b0ba6da06e1562be9d6e
Yves Saint Laurent,"
            Yves Saint Laurent Petit Kabas bag
          ","
              C$900
            ","
              US OS
            ","
          Presenting the Yves Saint Laurent Petit Kabas bag, a chic and versatile accessory that exudes effortless style. Despite signs of wear, including minor cracks on the handles and a few scratches, it remains in good condition overall. While one of the back screw is missing, the bag can still be worn as crossbody. Look at all the pictures for more details.
        ","C$12.49C$3.99Expedited (1-7 day) Shipping on orders over C$700!, FREE authentication on items over C$700!","N/A, N/A, Red",N/A,285,100+,1 day,46,https://poshmark.ca/listing/Yves-Saint-Laurent-Petit-Kabas-bag-66e8021d1b40a7604d04ca23
N/A,"
            𝅺handcrafted Patchwork Tote
          ","
              C$25
            ","
              US OS
            ","
          Length - 18""
Height - 15.5""
Width - 1""
        ","Seller Discount: 25% off 3+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, Blue, White",N/A,2549,1500+,2 days,100+,https://poshmark.ca/listing/handcrafted-Patchwork-Tote-66e4670249d8d8fa275cc8a4
Vittoria Napoli,"
            Vittoria Napoli 100% Italian Leather Demi Satchel Bag
          ","
              C$108
            ","
              US OS
            ","
          Black italian leather
Approximate measurements : 11"" width, 10.25"" height, 4.5"" depth
Condition : excellent pre-owned
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, Black, N/A, N/A",N/A,714,500+,2 days,52,https://poshmark.ca/listing/Vittoria-Napoli-100-Italian-Leather-Demi-Satchel-Bag-66b56d737fc826bb44b30a43
tim hortons,"
            Tim Biebs Tuque, beanie, Justin Bieber, Tim Hortons. New in bag.
          ","
              C$60
            ","
              US OS (Boy)
            ","
          New in bag Tim Biebs by Justin Bieber in collaboration with Tim Horton. Brand new in bag.
        ","Seller Discount: 10% off 2+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, Black",N/A,646,300+,1 day,56,https://poshmark.ca/listing/TimBiebs-Tuque-beanie-Justin-Bieber-Tim-Hortons-New-in-bag-6415b98e424b85b024f429e1
Issey Miyake,"
            Issey Miyake Pleats Please Cosmetic Case w/charm
          ","
              C$25
            ","
              US OS
            ","
          New and unused cosmetic bag. It never had tags. 

Nice cream on the front, bright orange piping on the edges and neon pink on the back.

This is a flat laying pouch with one top zip. Only 1 compartment. 

Really sweet perfume charm as the zipper pull. 

9 inches long

6 inches tall
        ","Seller Discount: 15% off 2+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, Pink, Cream, N/A, N/A, N/A",N/A,11793,6200+,1 day,100+,https://poshmark.ca/listing/Issey-Miyake-Pleats-Please-Cosmetic-Case-wcharm-66803a9e2fd49ae96b68a22d
Tignanello,"
            Vintage Tignanello Genuine Red Leather Shoulder Bag w/t Silver Hardware
          ","
              C$44
            ","
              US OS
            ","
          In used condition with some edge scuffs
        ","Seller Discount: 25% off 2+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, Red",N/A,369,200+,1 day,27,https://poshmark.ca/listing/Vintage-Tignanello-Genuine-Red-Leather-Shoulder-Bag-wt-Silver-Hardware-66bf827bd90d21c9a0b090ac
