Brand,Item Name,Price,Size,Description,Extra Info,Colors,Image URL,No Of Seller Listings,No Of Sold Seller Listings,Seller Avg. Shipping Time,No of Seller Love Notes,Product Link
Jewel Badgley Mischka,"
            Jewel by Badgley Mischka - Metallic High Heel Sandal Size 6
          ","
              C$100
            ","
              US 6
            ","
          ewel Badgley Mischka High Heel Sandal
Size 6 - 3"" Heel
Rose Gold Satin
Ankle strap and Jewel Detail down front. (Extra Jewels attached to shoe 
Minor scuffs on heel - see photos
perfect for wedding season 💕
Prom, graduation, wedding, date night, gala, mexico

Excellent Pre-Loved Condition 💵 Taking Offers 🔝 Rated Seller 📦 Fast Shipping ⚠️ Use Measurements to be sure of fit when possible! Happy Poshing!
        ","Seller Discount: 15% off 2+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, N/A, N/A, N/A",N/A,2585,1400+,1 day,100+,https://poshmark.ca/listing/Jewel-by-Badgley-Mischka-Metallic-High-Heel-Sandal-Size-6-662a1eb58e40fd87bd9806e7
Nike,"
            NIKE Cleats
          ","
              C$15
            ","
              US 5
            ","
          Size 5 women’s Nike cleats.
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, Black, White",N/A,596,200+,3 days,45,https://poshmark.ca/listing/NIKE-Cleats-66d962500841b98d624ab116
Vionic,"
            Vionic Rest Randi leather sandal slide orthotic hook and  loop beige wm 6.5
          ","
              C$47
            ","
              US 6.5
            ","
          A stylish sandal with a comfortable and supportive footbed. 


SIZE 
Women's US 6.5

** For the best fit, please see the measurements below **


BRAND / MODEL
Vionic / Rest Randi


DETAILS
- slide style

- leather upper with a snakeskin pattern (features black, white and beige, with slight iridescence)

- two straps with a hook-and-loop closure

- microfiber-covered footbed

- heel height: 0.98""

- lightweight, flexible EVA midsole that absorbs shock and reduces stress on feet, ankles and knees

- durable rubber outsole with a patterned treat provides traction on a variety of surfaces

- footbed designed to hug arches and support your feet

- built-in orthotic is shown to be effective in helping to treat heel pain (plantar fasciitis)


APPROXIMATE MEASUREMENTS
23.5 cm / 9.2 inches length


CONDITION
Very good preowned condition. Worn once. Please see photos.
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, Cream, Black, N/A, N/A, N/A",N/A,304,100+,1 day,32,https://poshmark.ca/listing/Vionic-Rest-Randi-leather-sandal-slide-orthotic-hook-and-loop-beige-wm-65-66d7a543842dd457c1cbc2f4
CROCS,"
            EUC Crocs | Unisex Crocband Animal Print Clog Mule Size 9W or 7M
          ","
              C$69
            ","
              US 9
            ","
          Crocs Unisex Crocband Animal Print Clog Mule
Colour: Espresso/Gold
Size: 9 Women or 7 Men

Condition: Pre-owned, in excellent condition
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, Brown, Gold, N/A, N/A, N/A",N/A,1346,800+,1 day,100+,https://poshmark.ca/listing/EUC-Crocs-Unisex-Crocband-Animal-Print-Clog-Mule-Size-9W-or-7M-66c13983f33f71e983100351
Artengo,"
            Artengo Running shoes size 6.5
          ","
              C$30
            ","
              US 6.5
            ","
          Condition: New without box
        ","Seller Discount: 20% off 2+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, Pink, White",N/A,3356,1900+,1 day,100+,https://poshmark.ca/listing/Artengo-Running-shoes-size-65-6696a0c68e40fdb4a16778f8
N/A,"
            Black leather studded ankle strap espadrille flat sandals EU 40
          ","
              C$49
            ","
              EU 40
            ","
          Black leather espadrille sandals. Brand unknown
Made in Spain
Very similar to Valentino Rockstuds

feel like genuine later
black with tan
metal studs on heels and ankle straps
ankle straps wrap twice around ankle and buckle
flat
espadrille soles

Size EU 40 

Excellent used condition! 

Note colours may appear differently from screen to screen. 

New to Poshmark? Sign up using code CUR8EDCLASSIX and receive $15 off your first purchase.
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, Black, Tan, N/A, N/A, N/A",N/A,11593,7200+,1 day,100+,https://poshmark.ca/listing/Black-leather-studded-ankle-strap-espadrille-flat-sandals-EU-40-66b4fd9f9a76efb2b19a058d
Sperry,"
            Sperry Top Sider Shoes
          ","
              C$45
            ","
              US 8.5
            ","
          Navy and beige women's Sperry's. Very comfortable, just too wide for me. Worn once to the boat, never wet.

Build a bundle, make an offer, save on shipping 📦 💸
I recycle packaging materials out of concern for the environment 🌳
        ","Seller Discount: 20% off 4+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, Blue, N/A, N/A, N/A",N/A,395,200+,2 days,27,https://poshmark.ca/listing/Sperry-Top-Sider-Shoes-61aab9cd2f3d194e47a81f2f
Tahari,"
            Tahari Robbie Peep Toe Pumps/Size 6M
          ","
              C$35
            ","
              US 6
            ","
          Tahari Robbie Pumps
Peep Toe
Metal detail on toe has Taharai name stamp


Heel: 3""
 
Material:
Man Made upper
Man Made sole
 
Colour- Black with white detail on toe

Size: 6M

Excellent pre-owned condition. No known flaws and very light overall wear. Some glue from size sticker on inside-shown in picture.

Taking Reasonable Offers 📦 Fast Shipping ⚠️ Use Measurements to be sure of fit when possible! 
Just a reminder that your review is about the product you received and the sellers service. It does not include Canada Posts delivery time – I ship same day or next day depending on the time of sale.
Thank you!
Happy Shopping! 
        ","Seller Discount: 30% off 3+ Bundle, C$12.49C$9.99Expedited (1-7 day) Shipping","N/A, N/A, N/A, Black, White",N/A,839,200+,1 day,53,https://poshmark.ca/listing/Tahari-Robbie-Peep-Toe-PumpsSize-6M-66d4305b04b36db96ae2b8ec
le chateau,"
            💐 Pink Satin Pumps
          ","
              C$25
            ","
              US 7
            ","
          Pink Satin Pumps
3 inch heel
Peep toe and side cut out style 
Additional Heel Base 

Good condition 
From a smoke and pet free home
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, Pink",N/A,316,100+,1 day,41,https://poshmark.ca/listing/Pink-Satin-Pumps-66d659a78e40fdebef4e67f8
Hugo Boss,"
            Hugo Boss fringe wood stiletto sandals high heels size  37
          ","
              C$92
            ","
              US 7
            ","
          Hugo Boss fringe wood stiletto sandals heels
Very good used condition
approx: 3"" heels
fringe trim made of wood pieces
shell that is likely poly/plastic material
pointed open toe
zippered back
made in Italy

Hugo Boss fringe wood stiletto sandals heels
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, Black, N/A, N/A, N/A",N/A,1943,1200+,2 days,100+,https://poshmark.ca/listing/Hugo-Boss-fringe-wood-stiletto-sandals-high-heels-size-37-66a1d92e0dfd6439af187a13
